message 1,message 2,digest 1,digest 2,tries
"If at first you don't succeed,",zJlgLxYoGj67ayXwrm4kaArnCjsB5j,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000," 30,127,741 "
"If at first you don't succeed,",7wa1nRIWsUKT3od8FO9fvXXHkjxEFf,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000," 6,019,754 "
"If at first you don't succeed,",gm8oXC1TQhxcznFrvLVW7PalYs6XKQ,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7ab0395925e1b522460c9d4a3e0cd10c9a1ebfe7f0000010000000000000000301e0401000000e0c7a1ebfe7f0000d0c7a1ebfe7f0000a0c7a1ebfe7f0000," 26,018,523 "
"If at first you don't succeed,",NVvdYGV0WtIbgrr2o5927GxJy8OCV0,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7ab505f2c1eadd6a49032b5376cbb10a951ebfe7f0000010000000000000000506e0401000000e0a751ebfe7f0000d0a751ebfe7f0000a0a751ebfe7f0000," 9,749,633 "
"If at first you don't succeed,",ovTXzujCgFiLLnIzEfAljj6kYbPUFs,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7ab5c712dd1f2dd2a2caa457e1a731049f5e3fe7f0000010000000000000000b0ca0b01000000e047f5e3fe7f0000d047f5e3fe7f0000a047f5e3fe7f0000," 9,790,722 "
"If at first you don't succeed,",XIJ8ZIjSK8cu6YtkiWFn7czJr3Q6LP,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7ab13a8545bb0284bd030342bbaf810999cecfe7f000001000000000000000060230301000000e0979cecfe7f0000d0979cecfe7f0000a0979cecfe7f0000," 781,648 "
"If at first you don't succeed,",ebCNJDQ1bDCgh2YMAo1M9V3bdoocyG,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7abecaf4b1819c6595cbdb318d5a31019efe5fe7f0000010000000000000000e0d00901000000e017efe5fe7f0000d017efe5fe7f0000a017efe5fe7f0000," 2,340,329 "
"If at first you don't succeed,",j6cK7sRvTrKB2uWKxl3js2OJA2ZGiH,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7ab59c476a340dbefc7d312cd20ba1069d9ecfe7f000001000000000000000090e60201000000e067d9ecfe7f0000d067d9ecfe7f0000a067d9ecfe7f0000," 27,844,162 "
"If at first you don't succeed,",j6cK7sRvTrKB2uWKxl3js2OJA2ZGiH,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7ab59c476a340dbefc7d312cd20ba10e964e2fe7f0000010000000000000000105b0d01000000e0e764e2fe7f0000d0e764e2fe7f0000a0e764e2fe7f0000," 34,123,064 "
"If at first you don't succeed,",2dZ8VVQLf43TDsKwE6cmPFgfO6HaRE,62a7aba267380f559359f22a2b3cf65a010000000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000,62a7ab0b943f73fd44a707128936c937106968e5fe7f000001000000000000000090570a01000000e06768e5fe7f0000d06768e5fe7f0000a06768e5fe7f0000," 1,370,270 "
Average,,,," 14,816,584.60 "
